	0	1	2	3	Class	clusters
0	5.1	3.5	1.4	0.2	Iris-setosa	3
1	4.9	3.0	1.4	0.2	Iris-setosa	3
2	4.7	3.2	1.3	0.2	Iris-setosa	3
3	4.6	3.1	1.5	0.2	Iris-setosa	3
4	5.0	3.6	1.4	0.2	Iris-setosa	3
5	5.4	3.9	1.7	0.4	Iris-setosa	3
6	4.6	3.4	1.4	0.3	Iris-setosa	3
7	5.0	3.4	1.5	0.2	Iris-setosa	3
8	4.4	2.9	1.4	0.2	Iris-setosa	3
9	4.9	3.1	1.5	0.1	Iris-setosa	3
10	5.4	3.7	1.5	0.2	Iris-setosa	3
11	4.8	3.4	1.6	0.2	Iris-setosa	3
12	4.8	3.0	1.4	0.1	Iris-setosa	3
13	4.3	3.0	1.1	0.1	Iris-setosa	3
14	5.8	4.0	1.2	0.2	Iris-setosa	3
15	5.7	4.4	1.5	0.4	Iris-setosa	3
16	5.4	3.9	1.3	0.4	Iris-setosa	3
17	5.1	3.5	1.4	0.3	Iris-setosa	3
18	5.7	3.8	1.7	0.3	Iris-setosa	3
19	5.1	3.8	1.5	0.3	Iris-setosa	3
20	5.4	3.4	1.7	0.2	Iris-setosa	3
21	5.1	3.7	1.5	0.4	Iris-setosa	3
22	4.6	3.6	1.0	0.2	Iris-setosa	3
23	5.1	3.3	1.7	0.5	Iris-setosa	3
24	4.8	3.4	1.9	0.2	Iris-setosa	3
25	5.0	3.0	1.6	0.2	Iris-setosa	3
26	5.0	3.4	1.6	0.4	Iris-setosa	3
27	5.2	3.5	1.5	0.2	Iris-setosa	3
28	5.2	3.4	1.4	0.2	Iris-setosa	3
29	4.7	3.2	1.6	0.2	Iris-setosa	3
30	4.8	3.1	1.6	0.2	Iris-setosa	3
31	5.4	3.4	1.5	0.4	Iris-setosa	3
32	5.2	4.1	1.5	0.1	Iris-setosa	3
33	5.5	4.2	1.4	0.2	Iris-setosa	3
34	4.9	3.1	1.5	0.1	Iris-setosa	3
35	5.0	3.2	1.2	0.2	Iris-setosa	3
36	5.5	3.5	1.3	0.2	Iris-setosa	3
37	4.9	3.1	1.5	0.1	Iris-setosa	3
38	4.4	3.0	1.3	0.2	Iris-setosa	3
39	5.1	3.4	1.5	0.2	Iris-setosa	3
40	5.0	3.5	1.3	0.3	Iris-setosa	3
41	4.5	2.3	1.3	0.3	Iris-setosa	3
42	4.4	3.2	1.3	0.2	Iris-setosa	3
43	5.0	3.5	1.6	0.6	Iris-setosa	3
44	5.1	3.8	1.9	0.4	Iris-setosa	3
45	4.8	3.0	1.4	0.3	Iris-setosa	3
46	5.1	3.8	1.6	0.2	Iris-setosa	3
47	4.6	3.2	1.4	0.2	Iris-setosa	3
48	5.3	3.7	1.5	0.2	Iris-setosa	3
49	5.0	3.3	1.4	0.2	Iris-setosa	3
50	7.0	3.2	4.7	1.4	Iris-versicolor	0
51	6.4	3.2	4.5	1.5	Iris-versicolor	0
52	6.9	3.1	4.9	1.5	Iris-versicolor	0
53	5.5	2.3	4.0	1.3	Iris-versicolor	1
54	6.5	2.8	4.6	1.5	Iris-versicolor	0
55	5.7	2.8	4.5	1.3	Iris-versicolor	1
56	6.3	3.3	4.7	1.6	Iris-versicolor	0
57	4.9	2.4	3.3	1.0	Iris-versicolor	1
58	6.6	2.9	4.6	1.3	Iris-versicolor	0
59	5.2	2.7	3.9	1.4	Iris-versicolor	1
60	5.0	2.0	3.5	1.0	Iris-versicolor	1
61	5.9	3.0	4.2	1.5	Iris-versicolor	1
62	6.0	2.2	4.0	1.0	Iris-versicolor	1
63	6.1	2.9	4.7	1.4	Iris-versicolor	0
64	5.6	2.9	3.6	1.3	Iris-versicolor	1
65	6.7	3.1	4.4	1.4	Iris-versicolor	0
66	5.6	3.0	4.5	1.5	Iris-versicolor	1
67	5.8	2.7	4.1	1.0	Iris-versicolor	1
68	6.2	2.2	4.5	1.5	Iris-versicolor	0
